player_name,team,country,maps_played,rounds_played,total_kills,total_deaths,total_assists,headshot_percentage,kills_per_round,deaths_per_round,assists_per_round,damage_per_round,rating,opening_kills,opening_deaths,clutch_wins,kdr,impact_score,survival_rate,assist_contribution,opening_duel_win_rate,consistency_score,performance_index,performance_encoded,performance_category
shisky,Imperial,Canada,298,6258,4338.0,4425,1399,41.1,0.69,0.71,0.22,81.0,1.02,24,30,4,0.9803,0.4201,0.2929,0.2418,0.4444,0.9227,0.4002,1,Medium
Stops5s,paiN,Finland,272,8160,3988.0,5838,1391,42.2,0.49,0.72,0.17,67.9,0.91,33,32,17,0.6831,0.3505,0.2846,0.2576,0.5077,0.6746,0.2435,0,Low
blergz,paiN,Australia,305,7015,4257.0,4735,837,31.1,0.61,0.68,0.12,68.6,0.89,47,30,14,0.899,0.3976,0.325,0.1644,0.6104,0.6094,0.2446,0,Low
droltzy,G2,Czech Republic,340,8500,5728.0,5518,1458,48.0,0.67,0.65,0.17,67.7,1.07,29,30,14,1.0381,0.3989,0.3508,0.2024,0.4915,0.7422,0.4593,2,High
prell7,Apeks,Netherlands,364,8736,7670.0,4845,1074,54.1,0.88,0.55,0.12,84.3,1.22,63,39,42,1.5831,0.5382,0.4454,0.12,0.6176,0.2893,0.7705,2,High
swolti,Navi,Ukraine,442,11492,9733.0,5936,772,56.1,0.85,0.52,0.07,90.9,1.24,66,28,42,1.6397,0.5364,0.4835,0.0761,0.7021,0.2372,0.8008,2,High
Duno4k,GamerLegion,Germany,397,9528,5353.0,7186,1116,36.4,0.56,0.75,0.12,60.7,0.8,59,41,14,0.7449,0.3568,0.2458,0.1765,0.59,0.3431,0.1675,0,Low
swace5s,Complexity,France,297,7128,5071.0,4551,819,51.3,0.71,0.64,0.11,84.8,1.32,29,21,24,1.1143,0.4551,0.3615,0.1341,0.58,0.0446,0.668,2,High
Swarnus,Imperial,Mongolia,137,3151,2317.0,2100,486,35.5,0.74,0.67,0.15,74.6,1.08,11,8,10,1.1033,0.4352,0.3335,0.1685,0.5789,0.7081,0.4352,1,Medium
skelt4k,Spirit,China,243,6318,3327.0,4237,466,28.2,0.53,0.67,0.07,65.7,0.83,32,30,9,0.7852,0.3619,0.3294,0.1167,0.5161,0.4274,0.1504,0,Low
Prikooo,NIP,Belgium,398,8358,4870.0,5257,1249,38.7,0.58,0.63,0.15,88.4,0.98,38,35,34,0.9264,0.4245,0.371,0.2055,0.5205,0.9227,0.3592,1,Medium
pradeie,Heroic,Latvia,272,6528,4267.0,4396,773,47.9,0.65,0.67,0.12,69.8,0.94,20,31,16,0.9707,0.3948,0.3266,0.1558,0.3922,0.7769,0.373,1,Medium
Glush1,FaZe,Norway,215,5160,3309.0,3342,900,42.1,0.64,0.65,0.17,76.9,1.01,14,17,11,0.9901,0.4048,0.3523,0.2099,0.4516,0.961,0.3907,1,Medium
crent1,Astralis,Russia,418,10450,7896.0,5388,979,52.6,0.76,0.52,0.09,92.3,1.12,61,44,42,1.4655,0.5122,0.4844,0.1059,0.581,0.5777,0.6684,2,High
Grostix,Liquid,Latvia,315,7245,4350.0,4887,705,43.9,0.6,0.67,0.1,81.8,0.94,31,29,8,0.8901,0.405,0.3255,0.1429,0.5167,0.7769,0.3448,1,Medium
apEX,Astralis,Germany,122,3538,2288.0,2428,539,51.0,0.65,0.69,0.15,63.8,0.81,15,18,3,0.9423,0.388,0.3137,0.1875,0.4545,0.3707,0.3087,1,Medium
frushoo,Virtus.pro,Estonia,266,7182,5660.0,4398,553,59.4,0.79,0.61,0.08,93.2,1.24,39,17,15,1.2869,0.5075,0.3876,0.092,0.6964,0.2372,0.7361,2,High
Grostie,Astralis,Argentina,385,8085,3967.0,5992,982,50.0,0.49,0.74,0.12,58.2,0.9,67,64,14,0.662,0.3384,0.2589,0.1967,0.5115,0.6417,0.2676,0,Low
Clulf3r,Outsiders,Finland,415,8715,8339.0,4959,1182,56.7,0.905,0.57,0.14,71.4,1.22,70,39,31,1.6816,0.5107,0.431,0.134,0.6422,0.2893,0.7817,2,High
Swergy,Spirit,Germany,184,4600,2932.0,2698,709,46.1,0.64,0.59,0.15,64.8,1.05,19,19,8,1.0867,0.3949,0.4135,0.1899,0.5,0.8123,0.4437,1,Medium
snrixy,Heroic,Norway,144,3456,2264.0,2514,483,48.9,0.66,0.73,0.14,72.0,0.78,12,21,5,0.9006,0.395,0.2726,0.175,0.3636,0.2893,0.2788,0,Low
Clrix1,Navi,Sweden,64,1408,867.0,986,235,35.6,0.62,0.7,0.17,69.3,0.95,9,9,2,0.8793,0.3944,0.2997,0.2152,0.5,0.8123,0.2959,0,Low
skonger,NIP,France,352,8096,5206.0,5138,888,44.7,0.64,0.63,0.11,69.8,0.78,58,65,11,1.0132,0.4145,0.3654,0.1467,0.4715,0.2893,0.29,0,Low
flush3r,Outsiders,Latvia,88,2112,1420.0,1392,351,37.3,0.67,0.66,0.17,68.0,0.97,9,6,5,1.0201,0.4051,0.3409,0.2024,0.6,0.8852,0.3483,1,Medium
trark3r,Virtus.pro,Kazakhstan,456,10032,7921.0,6956,759,55.7,0.79,0.69,0.08,93.9,1.34,56,24,42,1.1387,0.5003,0.3066,0.092,0.7,0.0,0.7398,2,High
gryrey,Virtus.pro,Latvia,120,3000,2152.0,2204,295,39.6,0.72,0.73,0.1,56.4,0.81,14,15,4,0.9764,0.39,0.2653,0.122,0.4828,0.3707,0.2546,0,Low
Skenti,Liquid,Sweden,356,8544,5939.0,5112,1720,52.2,0.7,0.6,0.2,64.9,1.01,37,40,19,1.1618,0.4138,0.4017,0.2222,0.4805,0.961,0.4815,2,High
trade7,Spirit,United States,341,8866,5100.0,5820,1056,31.5,0.58,0.66,0.12,57.2,0.96,30,39,4,0.8763,0.3462,0.3436,0.1714,0.4348,0.8484,0.2437,0,Low
snisker,GamerLegion,Norway,161,4186,2699.0,2714,720,49.7,0.64,0.65,0.17,71.6,0.93,11,13,8,0.9945,0.3947,0.3516,0.2099,0.4583,0.7422,0.3813,1,Medium
Prikozy,OG,Kazakhstan,363,9075,4962.0,5831,1239,46.0,0.55,0.64,0.14,64.1,1.0,36,56,4,0.851,0.3556,0.3575,0.2029,0.3913,1.0,0.3462,1,Medium
Dlex5s,Complexity,Canada,241,5543,3090.0,3892,827,34.3,0.56,0.7,0.15,74.7,0.83,26,22,13,0.7939,0.3825,0.2979,0.2113,0.5417,0.4274,0.1998,0,Low
Drazezy,SAW,Estonia,318,8586,6340.0,5929,1449,44.3,0.74,0.69,0.17,78.8,1.01,29,29,12,1.0693,0.4391,0.3095,0.1868,0.5,0.961,0.4413,1,Medium
Trume9,MOUZ,France,338,7436,4678.0,4839,688,44.8,0.63,0.65,0.09,56.5,0.91,49,44,13,0.9667,0.379,0.3492,0.125,0.5269,0.6746,0.3277,1,Medium
Glarka,FaZe,Canada,412,11124,8591.0,6427,1161,38.0,0.77,0.58,0.1,88.1,1.29,59,36,28,1.3367,0.4952,0.4222,0.1149,0.6211,0.114,0.6478,2,High
Kume0,Imperial,Australia,266,6118,3916.0,3996,758,48.9,0.64,0.65,0.12,63.8,0.92,24,43,17,0.98,0.3867,0.3468,0.1579,0.3582,0.7081,0.3632,1,Medium
Zops7,Imperial,Czech Republic,256,6144,4102.0,4062,789,46.3,0.67,0.66,0.13,53.1,0.86,33,39,10,1.0098,0.3793,0.3389,0.1625,0.4583,0.516,0.3161,1,Medium
xade4k,Navi,Belgium,196,4900,4451.0,3200,435,65.10000000000001,0.905,0.65,0.09,97.6,1.29,25,8,14,1.3909,0.5443,0.3469,0.0905,0.7576,0.114,0.8391,2,High
stolti,Complexity,United States,287,6601,3487.0,4639,787,44.2,0.53,0.7,0.12,62.9,0.85,47,30,5,0.7517,0.3584,0.2972,0.1846,0.6104,0.4859,0.2392,0,Low
Clulf5s,Virtus.pro,Turkey,358,8592,5590.0,5483,1593,37.9,0.65,0.64,0.19,72.0,0.96,26,38,16,1.0195,0.3999,0.3618,0.2262,0.4062,0.8484,0.3422,1,Medium
Xrixoo,Heroic,Mongolia,319,7975,4716.0,5645,1024,60.1,0.59,0.71,0.13,62.2,1.03,19,22,19,0.8354,0.3542,0.2922,0.1806,0.4634,0.8852,0.4349,1,Medium
Xergoo,Monte,Latvia,490,11270,8727.0,7126,1314,50.7,0.77,0.63,0.12,86.5,1.22,44,39,39,1.2247,0.4754,0.3677,0.1348,0.5301,0.2893,0.6441,2,High
kulf5s,Outsiders,Australia,179,4296,2692.0,3084,598,41.4,0.63,0.72,0.14,67.0,0.87,28,18,7,0.8729,0.396,0.2821,0.1818,0.6087,0.5466,0.2835,0,Low
Flisk,Apeks,Estonia,186,4464,2818.0,3097,531,48.1,0.63,0.69,0.12,74.2,0.99,10,14,8,0.9099,0.3883,0.3062,0.16,0.4167,0.961,0.3861,1,Medium
Sterg0,Complexity,Netherlands,108,2808,2238.0,1480,331,55.2,0.8,0.53,0.12,95.9,1.25,16,8,10,1.5122,0.5297,0.4729,0.1304,0.6667,0.2118,0.7743,2,High
zrix4k,Navi,Sweden,85,1955,1106.0,1506,228,47.3,0.57,0.77,0.12,69.8,0.86,10,13,1,0.7344,0.3648,0.2297,0.1739,0.4348,0.516,0.263,0,Low
crink7,Liquid,Germany,287,7749,6326.0,4510,811,55.7,0.82,0.58,0.1,93.5,1.11,40,34,19,1.4027,0.5198,0.418,0.1087,0.5405,0.6094,0.6742,2,High
pronga,Navi,Russia,394,8274,5687.0,5048,1425,46.4,0.69,0.61,0.17,66.1,1.0,38,41,24,1.1266,0.4114,0.3899,0.1977,0.481,1.0,0.4369,1,Medium
Blent3r,Lynn Vision,Mongolia,362,9050,5631.0,6195,1027,40.9,0.62,0.68,0.11,68.8,0.87,60,26,16,0.909,0.4037,0.3155,0.1507,0.6977,0.5466,0.2927,0,Low
Nentie,NIP,Kazakhstan,68,1428,961.0,931,188,51.6,0.67,0.65,0.13,68.3,0.84,8,12,0,1.0322,0.402,0.348,0.1625,0.4,0.4564,0.3542,1,Medium
stlex3r,Lynn Vision,Brazil,377,10179,5962.0,7690,935,42.1,0.59,0.76,0.09,66.7,0.96,22,65,12,0.7753,0.3538,0.2445,0.1324,0.2529,0.8484,0.2888,0,Low
Stisk,OG,Denmark,355,8165,4608.0,5685,791,38.9,0.56,0.7,0.1,68.3,0.83,54,63,18,0.8106,0.3802,0.3037,0.1515,0.4615,0.4274,0.2258,0,Low
prrixa,OG,Czech Republic,147,3675,2280.0,2416,480,46.3,0.62,0.66,0.13,62.9,0.87,22,16,4,0.9437,0.3873,0.3426,0.1733,0.5789,0.5466,0.3159,1,Medium
grenter,Liquid,United States,90,2070,1243.0,1327,395,54.2,0.6,0.64,0.19,76.1,1.05,5,8,5,0.9367,0.3904,0.3589,0.2405,0.3846,0.8123,0.458,2,High
flosto,Fnatic,Finland,294,6468,5932.0,3869,657,51.8,0.905,0.6,0.1,89.5,1.23,23,27,25,1.5332,0.5228,0.4018,0.0995,0.46,0.263,0.7437,2,High
Skiko1,Astralis,Canada,199,4975,3036.0,3501,529,43.5,0.61,0.7,0.11,53.6,0.86,18,11,13,0.8672,0.3526,0.2963,0.1528,0.6207,0.516,0.2568,0,Low
Snodoix,Complexity,China,128,3328,1583.0,2109,357,40.3,0.48,0.63,0.11,67.8,0.82,15,15,2,0.7506,0.3482,0.3663,0.1864,0.5,0.3988,0.1942,0,Low
zopser,NIP,Turkey,315,7875,4706.0,5561,935,47.2,0.6,0.71,0.12,79.5,0.89,30,65,10,0.8463,0.3966,0.2938,0.1667,0.3158,0.6094,0.3215,1,Medium
Narni,Eternal Fire,France,204,4896,3805.0,2964,475,65.10000000000001,0.78,0.61,0.1,90.0,1.24,31,9,18,1.2837,0.5042,0.3946,0.1136,0.775,0.2372,0.7639,2,High
Snarkix,SAW,Norway,275,6875,4759.0,3804,856,51.0,0.69,0.55,0.12,82.7,1.25,43,14,17,1.2511,0.4658,0.4467,0.1481,0.7544,0.2118,0.6597,2,High
swodoer,SAW,Russia,358,8234,4794.0,5683,1097,36.9,0.58,0.69,0.13,62.5,0.86,38,41,13,0.8436,0.362,0.3098,0.1831,0.481,0.516,0.2239,0,Low
Kacey,Complexity,Poland,230,5980,4056.0,4168,957,54.4,0.68,0.7,0.16,71.1,0.9,25,25,6,0.9731,0.4073,0.303,0.1905,0.5,0.6417,0.3957,1,Medium
Drazei,GamerLegion,Bosnia,192,4224,2702.0,2513,744,46.8,0.64,0.6,0.18,65.0,0.88,19,8,13,1.0752,0.3969,0.4051,0.2195,0.7037,0.5777,0.354,1,Medium
swodoa,MIBR,Ukraine,260,5980,3446.0,3845,947,38.1,0.58,0.64,0.16,71.0,0.86,36,31,14,0.8962,0.3947,0.357,0.2162,0.5373,0.516,0.2634,0,Low
Blazeoo,FURIA,Germany,197,4925,2426.0,3209,555,46.8,0.49,0.65,0.11,69.6,0.83,21,37,7,0.756,0.3532,0.3484,0.1833,0.3621,0.4274,0.2392,0,Low
flarni,Astralis,Canada,161,3542,2196.0,2629,417,45.6,0.62,0.74,0.12,77.3,0.78,21,35,5,0.8353,0.4039,0.2578,0.1622,0.375,0.2893,0.2561,0,Low
Snent,FURIA,Russia,255,7395,4634.0,4797,1124,45.8,0.63,0.65,0.15,78.5,1.1,20,22,19,0.966,0.4118,0.3513,0.1923,0.4762,0.6417,0.4607,2,High
Xace4k,Virtus.pro,United States,263,7627,4512.0,4876,1181,45.3,0.59,0.64,0.15,86.1,1.08,21,22,10,0.9253,0.4109,0.3607,0.2027,0.4884,0.7081,0.4394,1,Medium
Drumeix,MOUZ,Germany,312,7800,4826.0,4538,1358,40.8,0.62,0.58,0.17,85.1,1.05,17,30,34,1.0635,0.4282,0.4182,0.2152,0.3617,0.8123,0.4353,1,Medium
snoster,GamerLegion,United States,360,7920,4748.0,5304,1213,43.7,0.6,0.67,0.15,69.0,0.9,40,52,15,0.8952,0.385,0.3303,0.2,0.4348,0.6417,0.3082,1,Medium
Brrix5s,SAW,Ukraine,350,8050,6218.0,5105,982,54.4,0.77,0.63,0.12,81.3,1.18,54,18,36,1.218,0.4846,0.3658,0.1348,0.75,0.3988,0.6477,2,High
Xostoo,Imperial,Brazil,266,5852,4379.0,3827,663,46.8,0.75,0.65,0.11,77.4,1.07,22,17,18,1.1442,0.4456,0.346,0.1279,0.5641,0.7422,0.5053,2,High
prong3r,NIP,Australia,414,10764,6481.0,7207,2010,49.3,0.6,0.67,0.2,76.9,1.08,24,33,25,0.8993,0.3904,0.3305,0.25,0.4211,0.7081,0.4415,1,Medium
swentix,Liquid,Bosnia,371,10388,8021.0,6303,1399,63.2,0.77,0.61,0.13,91.8,1.32,36,36,41,1.2726,0.4944,0.3932,0.1444,0.5,0.0446,0.7883,2,High
Snostx,ENCE,Latvia,375,9750,6525.0,6636,2010,48.4,0.67,0.68,0.23500000000000001,78.1,1.06,34,25,28,0.9833,0.4231,0.3194,0.2597,0.5763,0.7769,0.4641,2,High
xion1,Heroic,Denmark,368,9936,7732.0,6564,1113,50.7,0.78,0.66,0.11,76.2,0.92,20,36,39,1.1779,0.4499,0.3394,0.1236,0.3571,0.7081,0.4533,2,High
Crent4k,BIG,China,249,5976,3807.0,3317,824,49.6,0.64,0.56,0.14,63.9,1.07,21,17,14,1.1477,0.3933,0.4449,0.1795,0.5526,0.7422,0.483,2,High
dops3r,OG,Argentina,273,7098,4794.0,4960,893,47.6,0.68,0.7,0.13,67.0,0.84,40,28,16,0.9665,0.4134,0.3012,0.1605,0.5882,0.4564,0.3295,1,Medium
YEKINDAR,TheMongolz,Denmark,186,5022,3853.0,3180,838,46.0,0.77,0.63,0.17,73.3,0.99,14,11,11,1.2116,0.4423,0.3668,0.1809,0.56,0.961,0.4666,2,High
Shionus,TYLOO,Belgium,219,5256,3157.0,3592,742,28.9,0.6,0.68,0.14,52.6,1.02,40,42,12,0.8789,0.3711,0.3166,0.1892,0.4878,0.9227,0.2811,0,Low
crodo5s,Imperial,Russia,263,6575,3761.0,3884,1164,55.1,0.57,0.59,0.18,56.9,1.05,22,19,18,0.9683,0.357,0.4093,0.24,0.5366,0.8123,0.444,1,Medium
blade9,NIP,Turkey,479,11496,9627.0,6023,1357,51.3,0.84,0.52,0.12,96.9,1.14,53,37,17,1.5984,0.5268,0.4761,0.125,0.5889,0.516,0.706,2,High
grioner,TYLOO,Germany,419,10475,6691.0,6391,1702,43.2,0.64,0.61,0.16,80.5,0.94,31,21,15,1.0469,0.4159,0.3899,0.2,0.5962,0.7769,0.3763,1,Medium
shark9,Heroic,France,372,9672,6255.0,6481,1327,32.1,0.65,0.67,0.14,74.8,0.99,42,28,18,0.9651,0.4131,0.3299,0.1772,0.6,0.961,0.3275,1,Medium
snyre4k,TheMongolz,Kazakhstan,219,5694,4981.0,3162,507,59.4,0.87,0.56,0.09,75.9,1.28,34,14,21,1.5753,0.51,0.4447,0.0938,0.7083,0.1379,0.81,2,High
fllexi,G2,Sweden,205,4305,2405.0,2496,611,34.2,0.56,0.58,0.14,53.9,0.87,19,38,8,0.9635,0.3468,0.4202,0.2,0.3333,0.5466,0.2247,0,Low
swveny,FURIA,Argentina,392,9800,5693.0,6767,1101,40.4,0.58,0.69,0.11,71.0,0.8,42,65,3,0.8413,0.3749,0.3095,0.1594,0.3925,0.3431,0.219,0,Low
Blost3r,Spirit,China,346,9342,6046.0,6289,1444,50.5,0.65,0.67,0.15,79.7,0.91,20,33,30,0.9614,0.4149,0.3268,0.1875,0.3774,0.6746,0.3836,1,Medium
frlexz,Eternal Fire,Mongolia,194,5044,3269.0,3279,705,37.2,0.65,0.65,0.14,76.6,1.11,12,24,7,0.997,0.4041,0.3499,0.1772,0.3333,0.6094,0.4196,1,Medium
Gracey,Apeks,Denmark,332,8964,5773.0,4919,1625,44.7,0.64,0.55,0.18,70.8,0.94,35,13,30,1.1736,0.4185,0.4512,0.2195,0.7292,0.7769,0.4083,1,Medium
Swven0,Navi,Canada,339,9492,7261.0,5987,1105,63.3,0.77,0.63,0.12,92.4,1.21,42,23,42,1.2128,0.5024,0.3693,0.1348,0.6462,0.316,0.7241,2,High
Gllexa,FaZe,France,126,3150,1740.0,2307,403,54.9,0.55,0.73,0.13,65.2,0.83,19,12,0,0.7542,0.3601,0.2676,0.1912,0.6129,0.4274,0.2876,0,Low
Crostz,OG,Argentina,86,1978,1409.0,1277,375,48.7,0.71,0.65,0.19,70.0,0.96,2,7,4,1.1034,0.4008,0.3544,0.2111,0.2222,0.8484,0.4157,1,Medium
Swiskx,Eternal Fire,Norway,339,8814,6086.0,5937,1098,52.4,0.69,0.67,0.12,81.1,1.08,24,16,14,1.0251,0.4261,0.3264,0.1481,0.6,0.7081,0.5061,2,High
flodo7,Cloud9,Canada,170,4250,3069.0,2704,442,51.4,0.72,0.64,0.1,77.3,1.1,19,12,9,1.135,0.4425,0.3638,0.122,0.6129,0.6417,0.5427,2,High
kace5s,Outsiders,Bosnia,287,7175,5137.0,3935,997,56.8,0.72,0.55,0.14,97.3,1.17,42,24,33,1.3055,0.5094,0.4516,0.1628,0.6364,0.4274,0.6885,2,High
Frushz,TYLOO,Czech Republic,180,4500,2616.0,3175,599,43.8,0.58,0.71,0.13,74.4,0.92,16,24,4,0.8239,0.3774,0.2944,0.1831,0.4,0.7081,0.3017,1,Medium
xlexx,Eternal Fire,Brazil,123,2952,1822.0,2152,535,39.8,0.62,0.73,0.18,65.4,0.96,16,19,6,0.8467,0.3836,0.271,0.225,0.4571,0.8484,0.3105,1,Medium
skyreer,Lynn Vision,Germany,213,5751,4054.0,3999,657,37.2,0.7,0.7,0.11,76.1,1.01,19,22,13,1.0138,0.4237,0.3046,0.1358,0.4634,0.961,0.3821,1,Medium
prodo,Fnatic,Norway,354,8850,6003.0,5316,1574,47.6,0.68,0.6,0.18,63.9,1.02,27,38,9,1.1292,0.3947,0.3993,0.2093,0.4154,0.9227,0.4426,1,Medium
grerg3r,ENCE,Denmark,448,12544,8414.0,7810,2010,42.8,0.67,0.62,0.18,73.2,0.97,49,44,24,1.0773,0.4208,0.3774,0.2118,0.5269,0.8852,0.3994,1,Medium
prade7,GamerLegion,Netherlands,300,8100,4036.0,5874,585,32.1,0.5,0.73,0.07,65.7,0.92,37,52,4,0.6871,0.3412,0.2748,0.1228,0.4157,0.7081,0.1885,0,Low
Shantie,G2,Canada,107,2568,1312.0,1770,290,43.0,0.51,0.69,0.11,63.1,0.88,14,9,6,0.7412,0.3513,0.3107,0.1774,0.6087,0.5777,0.2421,0,Low
