player_name,team,country,maps_played,rounds_played,total_kills,total_deaths,total_assists,headshot_percentage,kills_per_round,deaths_per_round,assists_per_round,damage_per_round,rating,opening_kills,opening_deaths,clutch_wins
Glarnoo,ENCE,Czech Republic,178,4450,2900,3240,526,36.6,0.65,0.73,0.12,60.5,0.81,15,25,5
drvener,Spirit,Estonia,325,7800,4455,5171,1296,45.1,0.57,0.66,0.17,72.1,0.89,29,45,1
tradez,TheMongolz,Czech Republic,205,4715,2996,2915,855,41.5,0.64,0.62,0.18,86.1,1.1,24,12,14
Snodoie,Lynn Vision,Brazil,272,5712,3274,4294,506,41.2,0.57,0.75,0.09,61.2,0.89,13,44,11
snlex0,FaZe,Sweden,155,3875,3462,2033,319,60.7,0.89,0.52,0.08,94.5,1.19,16,12,8
skantix,SAW,Kazakhstan,448,10304,5484,6649,1960,41.5,0.53,0.65,0.19,69.9,1.02,13,49,23
nongix,BIG,United States,419,10475,6981,7371,1972,45.5,0.67,0.7,0.19,75.6,0.89,33,40,32
Blulf5s,GamerLegion,Kazakhstan,400,8000,4740,4839,1255,48.6,0.59,0.6,0.16,65.0,1.07,33,44,16
Xost9,G2,Netherlands,277,6925,5527,3700,832,54.1,0.8,0.53,0.12,89.6,1.21,38,24,25
stunoix,BIG,Ukraine,359,8616,5321,5527,942,45.2,0.62,0.64,0.11,74.9,1.03,30,39,29
dradey,FURIA,Brazil,158,4266,2278,2984,752,49.8,0.53,0.7,0.18,74.5,0.94,11,17,6
Crushi,Vitality,Brazil,367,8074,5014,5210,1368,43.7,0.62,0.65,0.17,67.8,0.96,25,35,20
Brulfo,ENCE,Mongolia,348,7656,5548,4835,1075,40.8,0.72,0.63,0.14,61.8,1.05,19,38,18
Kion7,Apeks,Germany,435,11310,6619,7646,1859,42.0,0.59,0.68,0.16,72.3,0.95,36,32,19
shisky,Imperial,Canada,298,6258,4338,4425,1399,41.1,0.69,0.71,0.22,81.0,1.02,24,30,4
Stops5s,paiN,Finland,272,8160,3988,5838,1391,42.2,0.49,0.72,0.17,67.9,0.91,33,32,17
blergz,paiN,Australia,305,7015,4257,4735,837,31.1,0.61,0.68,0.12,68.6,0.89,47,30,14
droltzy,G2,Czech Republic,340,8500,5728,5518,1458,48.0,0.67,0.65,0.17,67.7,1.07,29,30,14
prell7,Apeks,Netherlands,364,8736,7670,4845,1074,54.1,0.88,0.55,0.12,84.3,1.22,63,39,46
swolti,Navi,Ukraine,442,11492,9733,5936,772,56.1,0.85,0.52,0.07,90.9,1.24,66,28,48
Duno4k,GamerLegion,Germany,397,9528,5353,7186,1116,36.4,0.56,0.75,0.12,60.7,0.8,59,41,14
swace5s,Complexity,France,297,7128,5071,4551,819,51.3,0.71,0.64,0.11,84.8,1.32,29,21,24
Swarnus,Imperial,Mongolia,137,3151,2317,2100,486,35.5,0.74,0.67,0.15,74.6,1.08,11,8,10
skelt4k,Spirit,China,243,6318,3327,4237,466,28.2,0.53,0.67,0.07,65.7,0.83,32,30,9
Prikooo,NIP,Belgium,398,8358,4870,5257,1249,38.7,0.58,0.63,0.15,88.4,0.98,38,35,34
pradeie,Heroic,Latvia,272,6528,4267,4396,773,47.9,0.65,0.67,0.12,69.8,0.94,20,31,16
Glush1,FaZe,Norway,215,5160,3309,3342,900,42.1,0.64,0.65,0.17,76.9,1.01,14,17,11
crent1,Astralis,Russia,418,10450,7896,5388,979,52.6,0.76,0.52,0.09,92.3,1.12,61,44,47
Grostix,Liquid,Latvia,315,7245,4350,4887,705,43.9,0.6,0.67,0.1,81.8,0.94,31,29,8
apEX,Astralis,Germany,122,3538,2288,2428,539,51.0,0.65,0.69,0.15,63.8,0.81,15,18,3
frushoo,Virtus.pro,Estonia,266,7182,5660,4398,553,59.4,0.79,0.61,0.08,93.2,1.24,39,17,15
Grostie,Astralis,Argentina,385,8085,3967,5992,982,50.0,0.49,0.74,0.12,58.2,0.9,67,64,14
Clulf3r,Outsiders,Finland,415,8715,8339,4959,1182,56.7,0.96,0.57,0.14,71.4,1.22,70,39,31
Swergy,Spirit,Germany,184,4600,2932,2698,709,46.1,0.64,0.59,0.15,64.8,1.05,19,19,8
snrixy,Heroic,Norway,144,3456,2264,2514,483,48.9,0.66,0.73,0.14,72.0,0.78,12,21,5
Clrix1,Navi,Sweden,64,1408,867,986,235,35.6,0.62,0.7,0.17,69.3,0.95,9,9,2
skonger,NIP,France,352,8096,5206,5138,888,44.7,0.64,0.63,0.11,69.8,0.78,58,66,11
flush3r,Outsiders,Latvia,88,2112,1420,1392,351,37.3,0.67,0.66,0.17,68.0,0.97,9,6,5
trark3r,Virtus.pro,Kazakhstan,456,10032,7921,6956,759,55.7,0.79,0.69,0.08,93.9,1.43,56,24,63
gryrey,Virtus.pro,Latvia,120,3000,2152,2204,295,39.6,0.72,0.73,0.1,56.4,0.81,14,15,4
Skenti,Liquid,Sweden,356,8544,5939,5112,1720,52.2,0.7,0.6,0.2,64.9,1.01,37,40,19
trade7,Spirit,United States,341,8866,5100,5820,1056,31.5,0.58,0.66,0.12,57.2,0.96,30,39,4
snisker,GamerLegion,Norway,161,4186,2699,2714,720,49.7,0.64,0.65,0.17,71.6,0.93,11,13,8
Prikozy,OG,Kazakhstan,363,9075,4962,5831,1239,46.0,0.55,0.64,0.14,64.1,1.0,36,56,4
Dlex5s,Complexity,Canada,241,5543,3090,3892,827,34.3,0.56,0.7,0.15,74.7,0.83,26,22,13
Drazezy,SAW,Estonia,318,8586,6340,5929,1449,44.3,0.74,0.69,0.17,78.8,1.01,29,29,12
Trume9,MOUZ,France,338,7436,4678,4839,688,44.8,0.63,0.65,0.09,56.5,0.91,49,44,13
Glarka,FaZe,Canada,412,11124,8591,6427,1161,38.0,0.77,0.58,0.1,88.1,1.29,59,36,28
Kume0,Imperial,Australia,266,6118,3916,3996,758,48.9,0.64,0.65,0.12,63.8,0.92,24,43,17
Zops7,Imperial,Czech Republic,256,6144,4102,4062,789,46.3,0.67,0.66,0.13,53.1,0.86,33,39,10
xade4k,Navi,Belgium,196,4900,4451,3200,435,68.8,0.91,0.65,0.09,97.6,1.29,25,8,14
stolti,Complexity,United States,287,6601,3487,4639,787,44.2,0.53,0.7,0.12,62.9,0.85,47,30,5
Clulf5s,Virtus.pro,Turkey,358,8592,5590,5483,1593,37.9,0.65,0.64,0.19,72.0,0.96,26,38,16
Xrixoo,Heroic,Mongolia,319,7975,4716,5645,1024,60.1,0.59,0.71,0.13,62.2,1.03,19,22,19
Xergoo,Monte,Latvia,490,11270,8727,7126,1314,50.7,0.77,0.63,0.12,86.5,1.22,44,39,39
kulf5s,Outsiders,Australia,179,4296,2692,3084,598,41.4,0.63,0.72,0.14,67.0,0.87,28,18,7
Flisk,Apeks,Estonia,186,4464,2818,3097,531,48.1,0.63,0.69,0.12,74.2,0.99,10,14,8
Sterg0,Complexity,Netherlands,108,2808,2238,1480,331,55.2,0.8,0.53,0.12,95.9,1.25,16,8,10
zrix4k,Navi,Sweden,85,1955,1106,1506,228,47.3,0.57,0.77,0.12,69.8,0.86,10,13,1
crink7,Liquid,Germany,287,7749,6326,4510,811,55.7,0.82,0.58,0.1,93.5,1.11,40,34,19
pronga,Navi,Russia,394,8274,5687,5048,1425,46.4,0.69,0.61,0.17,66.1,1.0,38,41,24
Blent3r,Lynn Vision,Mongolia,362,9050,5631,6195,1027,40.9,0.62,0.68,0.11,68.8,0.87,60,26,16
Nentie,NIP,Kazakhstan,68,1428,961,931,188,51.6,0.67,0.65,0.13,68.3,0.84,8,12,0
stlex3r,Lynn Vision,Brazil,377,10179,5962,7690,935,42.1,0.59,0.76,0.09,66.7,0.96,22,66,12
Stisk,OG,Denmark,355,8165,4608,5685,791,38.9,0.56,0.7,0.1,68.3,0.83,54,63,18
prrixa,OG,Czech Republic,147,3675,2280,2416,480,46.3,0.62,0.66,0.13,62.9,0.87,22,16,4
grenter,Liquid,United States,90,2070,1243,1327,395,54.2,0.6,0.64,0.19,76.1,1.05,5,8,5
flosto,Fnatic,Finland,294,6468,5932,3869,657,51.8,0.92,0.6,0.1,89.5,1.23,23,27,25
Skiko1,Astralis,Canada,199,4975,3036,3501,529,43.5,0.61,0.7,0.11,53.6,0.86,18,11,13
Snodoix,Complexity,China,128,3328,1583,2109,357,40.3,0.48,0.63,0.11,67.8,0.82,15,15,2
zopser,NIP,Turkey,315,7875,4706,5561,935,47.2,0.6,0.71,0.12,79.5,0.89,30,67,10
Narni,Eternal Fire,France,204,4896,3805,2964,475,65.4,0.78,0.61,0.1,90.0,1.24,31,9,18
Snarkix,SAW,Norway,275,6875,4759,3804,856,51.0,0.69,0.55,0.12,82.7,1.25,43,14,17
swodoer,SAW,Russia,358,8234,4794,5683,1097,36.9,0.58,0.69,0.13,62.5,0.86,38,41,13
Kacey,Complexity,Poland,230,5980,4056,4168,957,54.4,0.68,0.7,0.16,71.1,0.9,25,25,6
Drazei,GamerLegion,Bosnia,192,4224,2702,2513,744,46.8,0.64,0.6,0.18,65.0,0.88,19,8,13
swodoa,MIBR,Ukraine,260,5980,3446,3845,947,38.1,0.58,0.64,0.16,71.0,0.86,36,31,14
Blazeoo,FURIA,Germany,197,4925,2426,3209,555,46.8,0.49,0.65,0.11,69.6,0.83,21,37,7
flarni,Astralis,Canada,161,3542,2196,2629,417,45.6,0.62,0.74,0.12,77.3,0.78,21,35,5
Snent,FURIA,Russia,255,7395,4634,4797,1124,45.8,0.63,0.65,0.15,78.5,1.1,20,22,19
Xace4k,Virtus.pro,United States,263,7627,4512,4876,1181,45.3,0.59,0.64,0.15,86.1,1.08,21,22,10
Drumeix,MOUZ,Germany,312,7800,4826,4538,1358,40.8,0.62,0.58,0.17,85.1,1.05,17,30,34
snoster,GamerLegion,United States,360,7920,4748,5304,1213,43.7,0.6,0.67,0.15,69.0,0.9,40,52,15
Brrix5s,SAW,Ukraine,350,8050,6218,5105,982,54.4,0.77,0.63,0.12,81.3,1.18,54,18,36
Xostoo,Imperial,Brazil,266,5852,4379,3827,663,46.8,0.75,0.65,0.11,77.4,1.07,22,17,18
prong3r,NIP,Australia,414,10764,6481,7207,2121,49.3,0.6,0.67,0.2,76.9,1.08,24,33,25
swentix,Liquid,Bosnia,371,10388,8021,6303,1399,63.2,0.77,0.61,0.13,91.8,1.32,36,36,41
Snostx,ENCE,Latvia,375,9750,6525,6636,2337,48.4,0.67,0.68,0.24,78.1,1.06,34,25,28
xion1,Heroic,Denmark,368,9936,7732,6564,1113,50.7,0.78,0.66,0.11,76.2,0.92,20,36,39
Crent4k,BIG,China,249,5976,3807,3317,824,49.6,0.64,0.56,0.14,63.9,1.07,21,17,14
dops3r,OG,Argentina,273,7098,4794,4960,893,47.6,0.68,0.7,0.13,67.0,0.84,40,28,16
YEKINDAR,TheMongolz,Denmark,186,5022,3853,3180,838,46.0,0.77,0.63,0.17,73.3,0.99,14,11,11
Shionus,TYLOO,Belgium,219,5256,3157,3592,742,28.9,0.6,0.68,0.14,52.6,1.02,40,42,12
crodo5s,Imperial,Russia,263,6575,3761,3884,1164,55.1,0.57,0.59,0.18,56.9,1.05,22,19,18
blade9,NIP,Turkey,479,11496,9627,6023,1357,51.3,0.84,0.52,0.12,96.9,1.14,53,37,17
grioner,TYLOO,Germany,419,10475,6691,6391,1702,43.2,0.64,0.61,0.16,80.5,0.94,31,21,15
shark9,Heroic,France,372,9672,6255,6481,1327,32.1,0.65,0.67,0.14,74.8,0.99,42,28,18
snyre4k,TheMongolz,Kazakhstan,219,5694,4981,3162,507,59.4,0.87,0.56,0.09,75.9,1.28,34,14,21
fllexi,G2,Sweden,205,4305,2405,2496,611,34.2,0.56,0.58,0.14,53.9,0.87,19,38,8
swveny,FURIA,Argentina,392,9800,5693,6767,1101,40.4,0.58,0.69,0.11,71.0,0.8,42,71,3
Blost3r,Spirit,China,346,9342,6046,6289,1444,50.5,0.65,0.67,0.15,79.7,0.91,20,33,30
frlexz,Eternal Fire,Mongolia,194,5044,3269,3279,705,37.2,0.65,0.65,0.14,76.6,1.11,12,24,7
Gracey,Apeks,Denmark,332,8964,5773,4919,1625,44.7,0.64,0.55,0.18,70.8,0.94,35,13,30
Swven0,Navi,Canada,339,9492,7261,5987,1105,63.3,0.77,0.63,0.12,92.4,1.21,42,23,55
Gllexa,FaZe,France,126,3150,1740,2307,403,54.9,0.55,0.73,0.13,65.2,0.83,19,12,0
Crostz,OG,Argentina,86,1978,1409,1277,375,48.7,0.71,0.65,0.19,70.0,0.96,2,7,4
Swiskx,Eternal Fire,Norway,339,8814,6086,5937,1098,52.4,0.69,0.67,0.12,81.1,1.08,24,16,14
flodo7,Cloud9,Canada,170,4250,3069,2704,442,51.4,0.72,0.64,0.1,77.3,1.1,19,12,9
kace5s,Outsiders,Bosnia,287,7175,5137,3935,997,56.8,0.72,0.55,0.14,97.3,1.17,42,24,33
Frushz,TYLOO,Czech Republic,180,4500,2616,3175,599,43.8,0.58,0.71,0.13,74.4,0.92,16,24,4
xlexx,Eternal Fire,Brazil,123,2952,1822,2152,535,39.8,0.62,0.73,0.18,65.4,0.96,16,19,6
skyreer,Lynn Vision,Germany,213,5751,4054,3999,657,37.2,0.7,0.7,0.11,76.1,1.01,19,22,13
prodo,Fnatic,Norway,354,8850,6003,5316,1574,47.6,0.68,0.6,0.18,63.9,1.02,27,38,9
grerg3r,ENCE,Denmark,448,12544,8414,7810,2212,42.8,0.67,0.62,0.18,73.2,0.97,49,44,24
prade7,GamerLegion,Netherlands,300,8100,4036,5874,585,32.1,0.5,0.73,0.07,65.7,0.92,37,52,4
Shantie,G2,Canada,107,2568,1312,1770,290,43.0,0.51,0.69,0.11,63.1,0.88,14,9,6
crion0,Outsiders,Ukraine,247,6916,4491,4849,717,43.5,0.65,0.7,0.1,65.9,0.93,29,26,14
Strix5s,Imperial,Czech Republic,251,5522,3779,4107,726,52.9,0.68,0.74,0.13,65.3,0.9,26,30,5
glent4k,Lynn Vision,Sweden,161,4025,2414,2825,485,36.9,0.6,0.7,0.12,55.4,0.87,22,26,8
Brushz,Spirit,France,153,4284,2607,3130,382,51.3,0.61,0.73,0.09,65.8,0.77,18,23,8
trinker,Eternal Fire,Germany,220,5060,4335,2970,397,61.1,0.86,0.59,0.08,95.1,1.24,37,14,16
Shadeie,G2,Turkey,399,9975,6206,7019,1116,34.8,0.62,0.7,0.11,63.6,0.81,73,32,20
Trerg3r,Complexity,Brazil,97,2037,1217,1212,415,48.7,0.6,0.6,0.2,68.9,1.03,8,11,4
swantus,Astralis,Norway,147,3234,1831,2207,255,36.7,0.57,0.68,0.08,74.1,0.8,21,15,5
kisk7,paiN,Bosnia,342,7866,5593,5345,1196,40.7,0.71,0.68,0.15,68.6,1.0,22,30,20
Xell9,Cloud9,Brazil,270,6210,4100,4265,690,46.0,0.66,0.69,0.11,62.1,0.88,17,22,24
Briko0,Vitality,Poland,166,3652,1770,2775,362,47.9,0.48,0.76,0.1,72.1,0.87,24,13,5
Prellz,BIG,Belgium,403,10075,8603,6386,862,70.0,0.85,0.63,0.09,100.8,1.1,38,37,42
brell4k,MOUZ,Latvia,275,6875,6105,3741,560,55.7,0.89,0.54,0.08,86.0,1.12,32,24,24
nelt1,Outsiders,United States,276,6900,3889,5172,883,45.3,0.56,0.75,0.13,64.8,0.77,40,21,14
Frlex5s,paiN,Denmark,293,6739,4689,4227,837,38.3,0.7,0.63,0.12,72.6,1.03,11,28,21
Frushix,Complexity,Estonia,181,4344,2600,2604,750,43.6,0.6,0.6,0.17,74.7,1.02,14,14,7
frikooo,FaZe,United States,366,8784,5625,4941,1275,50.5,0.64,0.56,0.15,69.0,1.06,29,40,17
Blost0,FURIA,Poland,321,6741,5832,3126,830,51.8,0.87,0.46,0.12,91.4,1.38,54,20,49
Clulfer,OG,Argentina,221,5746,4621,3421,505,47.2,0.8,0.6,0.09,77.1,1.25,26,16,27
Swadeix,Virtus.pro,France,230,5520,3081,4086,761,54.0,0.56,0.74,0.14,66.8,0.93,15,28,5
Snulfoo,OG,Germany,344,9288,5403,7169,1231,29.8,0.58,0.77,0.13,64.4,0.84,28,49,18
Karn1,Fnatic,Finland,192,5184,3233,3322,1051,39.7,0.62,0.64,0.2,80.4,0.95,10,11,8
skellzy,Vitality,Estonia,133,3458,1792,2376,388,42.1,0.52,0.69,0.11,63.9,0.88,15,13,3
drinkz,Lynn Vision,Russia,435,10440,6950,6483,1946,54.1,0.67,0.62,0.19,74.8,0.91,27,49,27
Glodoy,BIG,Brazil,397,9528,6470,5594,1641,48.2,0.68,0.59,0.17,70.8,0.98,37,43,20
prarn7,Heroic,Turkey,382,8404,7244,5083,547,53.9,0.86,0.6,0.07,84.5,1.17,53,43,66
Xumeoo,G2,China,231,5313,3772,3352,727,43.0,0.71,0.63,0.14,71.1,0.97,23,22,12
flrixy,Heroic,Norway,75,1875,1089,1210,256,43.1,0.58,0.65,0.14,68.7,0.91,6,13,1
Xostx,Imperial,Belgium,384,9984,6743,6842,972,40.0,0.68,0.69,0.1,73.1,0.91,45,60,12
Prinkoo,Outsiders,China,292,7592,4200,5316,427,40.4,0.55,0.7,0.06,64.3,0.86,43,34,5
Zaze1,BIG,Bosnia,69,1518,780,1012,256,42.8,0.51,0.67,0.17,71.1,0.91,8,7,0
clodoi,NIP,Russia,386,10036,7699,5918,669,43.5,0.77,0.59,0.07,85.5,1.15,57,42,44
grrix1,Complexity,Turkey,341,7843,4474,5465,1203,42.7,0.57,0.7,0.15,63.3,0.95,56,36,12
Darkix,Outsiders,United States,372,8556,6142,5399,1422,40.9,0.72,0.63,0.17,66.3,0.96,36,45,22
Dumei,Imperial,Latvia,293,6153,4395,3955,909,45.8,0.71,0.64,0.15,81.2,1.02,26,23,20
Swell0,Outsiders,Mongolia,378,8694,4847,5458,1037,43.5,0.56,0.63,0.12,58.4,1.02,27,51,1
Blrix4k,FaZe,Finland,212,5936,2974,4224,651,41.8,0.5,0.71,0.11,68.9,0.87,29,20,1
nazey,NIP,Australia,254,6350,3706,3993,985,38.3,0.58,0.63,0.16,72.5,0.9,18,15,13
Deltie,MOUZ,Estonia,80,2160,1483,1487,89,44.3,0.69,0.69,0.04,62.7,0.96,11,8,1
zarno,NIP,Norway,201,4824,3026,3325,874,51.5,0.63,0.69,0.18,62.7,1.12,19,18,9
xlexix,Imperial,Kazakhstan,103,2781,1615,1765,368,51.9,0.58,0.63,0.13,57.1,0.83,7,15,2
flyrey,Astralis,Czech Republic,306,7344,5278,4799,1209,44.3,0.72,0.65,0.16,69.2,0.98,33,26,17
Krix3r,Astralis,France,230,6210,3793,4349,1036,39.3,0.61,0.7,0.17,66.2,0.7,25,37,6
Clioni,Apeks,China,364,8736,5467,5769,738,37.0,0.63,0.66,0.08,66.0,0.83,19,44,15
Kanter,GamerLegion,Ukraine,121,2904,2057,1807,461,44.5,0.71,0.62,0.16,70.0,0.97,9,8,7
Shumeus,Cloud9,Brazil,268,6164,4079,3902,808,45.9,0.66,0.63,0.13,63.4,0.77,36,41,8
glvener,GamerLegion,Australia,239,6214,3547,4063,1306,38.7,0.57,0.65,0.21,73.5,0.93,19,27,18
strixx,MOUZ,Netherlands,396,9504,5870,5549,1709,51.0,0.62,0.58,0.18,66.0,0.96,29,43,27
Bloster,BIG,Australia,290,6670,4321,4372,1087,58.1,0.65,0.66,0.16,76.3,1.09,22,22,14
swiskix,Lynn Vision,Czech Republic,135,3375,2145,2373,321,50.1,0.64,0.7,0.1,68.9,0.82,19,17,4
stent9,Heroic,Canada,332,8632,5112,6202,950,44.2,0.59,0.72,0.11,63.8,0.84,36,32,19
Blyrezy,Spirit,Finland,81,2025,1460,1252,351,45.7,0.72,0.62,0.17,70.9,0.89,2,8,5
Glenta,paiN,Finland,341,9207,4903,6246,1216,38.0,0.53,0.68,0.13,64.3,0.98,54,29,4
triona,BIG,Norway,306,7650,4524,4973,1028,38.5,0.59,0.65,0.13,55.7,0.94,36,25,18
Skarkx,paiN,China,217,5208,4009,3078,671,58.1,0.77,0.59,0.13,84.9,1.14,17,17,16
trunoa,Fnatic,Denmark,169,4394,2307,3267,439,58.0,0.53,0.74,0.1,66.4,0.92,16,21,8
Brrixoo,FURIA,Mongolia,442,12376,9720,8162,371,66.5,0.79,0.66,0.03,84.0,1.24,61,27,52
Xade3r,SAW,United States,411,9042,6948,5375,351,54.1,0.77,0.59,0.04,83.7,1.24,52,30,12
Shrix0,Cloud9,Latvia,199,4776,3397,3442,656,39.6,0.71,0.72,0.14,61.0,1.0,15,18,17
Xarn5s,G2,United States,159,3657,2354,2376,572,52.9,0.64,0.65,0.16,71.7,1.05,11,12,12
Glazez,OG,Canada,366,9516,6032,6500,1400,42.7,0.63,0.68,0.15,63.4,1.06,21,36,27
Snikoix,TheMongolz,France,196,4312,2427,2584,966,52.3,0.56,0.6,0.22,71.3,0.98,13,17,14
Swveno,TheMongolz,Ukraine,155,4340,2455,3128,773,43.3,0.57,0.72,0.18,54.0,0.91,17,14,9
Drelta,Eternal Fire,Sweden,133,3192,1804,2152,304,41.8,0.57,0.67,0.1,56.3,0.72,9,21,7
flink7,GamerLegion,Estonia,338,8112,5132,5303,954,45.1,0.63,0.65,0.12,75.4,0.93,24,29,8
snumez,Complexity,Latvia,388,10088,8052,5050,1249,59.6,0.8,0.5,0.12,93.5,1.38,40,37,26
skaze7,Monte,Canada,167,4175,3016,2571,648,53.0,0.72,0.62,0.16,62.8,1.07,12,19,9
blisk,Cloud9,Turkey,149,3874,2491,2647,480,46.7,0.64,0.68,0.12,71.0,1.04,13,14,11
nulfix,ENCE,Canada,272,5712,4713,3308,503,49.0,0.83,0.58,0.09,88.7,1.22,45,21,32
Brushx,TheMongolz,Brazil,315,7245,3505,4688,860,40.8,0.48,0.65,0.12,80.9,0.9,45,51,11
Pruno,Monte,Ukraine,150,4200,2039,3389,450,44.4,0.49,0.81,0.11,71.0,0.88,18,20,0
Cladeer,BIG,Czech Republic,394,10638,6740,7002,1928,44.2,0.63,0.66,0.18,71.9,1.05,25,27,13
Zyrea,Eternal Fire,Ukraine,470,10810,9266,6284,996,64.9,0.86,0.58,0.09,77.6,1.37,37,49,42
brioni,Fnatic,Sweden,190,4940,3325,3715,733,48.5,0.67,0.75,0.15,58.0,0.89,15,26,9
Nrix4k,Liquid,Norway,487,10714,9071,6405,622,57.7,0.85,0.6,0.06,91.9,1.22,63,46,54
kell4k,Astralis,France,289,6936,5791,4244,855,56.8,0.84,0.61,0.12,87.2,1.27,49,24,28
Cllexer,FURIA,Russia,195,4095,3355,2350,312,57.3,0.82,0.57,0.08,92.8,1.25,31,16,14
Skongie,Fnatic,Czech Republic,249,5727,3624,3951,1126,46.1,0.63,0.69,0.2,65.9,0.98,19,21,12
crops3r,SAW,Belgium,278,5838,2595,4196,814,45.4,0.44,0.72,0.14,68.4,0.73,23,43,14
xolt3r,Heroic,Turkey,110,2310,1463,1468,376,57.2,0.63,0.64,0.16,75.8,0.97,6,5,6
skrixer,MOUZ,Canada,487,12175,9798,6590,1194,48.0,0.8,0.54,0.1,76.2,1.11,69,36,42
snioni,GamerLegion,Russia,197,4925,3337,2946,655,41.2,0.68,0.6,0.13,75.2,1.07,13,25,11
Skerg5s,Apeks,Russia,306,7344,4066,5299,786,36.2,0.55,0.72,0.11,56.0,0.81,48,40,19
snell1,Navi,Australia,319,7656,4821,4528,1253,42.5,0.63,0.59,0.16,77.0,1.01,22,37,21
Skelt7,FaZe,Germany,237,5688,4576,3249,608,50.3,0.8,0.57,0.11,76.4,1.29,33,27,21
brlex1,OG,Denmark,391,9775,6879,6220,921,46.6,0.7,0.64,0.09,80.5,1.1,16,34,18
crade7,Eternal Fire,Kazakhstan,230,6210,3774,3686,639,42.4,0.61,0.59,0.1,73.1,1.09,12,18,17
Karker,TYLOO,Norway,151,3775,2289,2690,396,45.6,0.61,0.71,0.1,72.9,0.89,14,18,5
kvenx,Virtus.pro,Netherlands,115,2760,1599,1938,215,37.4,0.58,0.7,0.08,66.3,0.8,11,12,7
Skushus,MOUZ,Ukraine,375,8625,5934,5572,1217,56.2,0.69,0.65,0.14,72.6,1.08,32,45,23
Gliskie,BIG,Poland,433,10825,9902,6453,578,58.0,0.91,0.6,0.05,106.0,1.1,77,43,25
Gliko,FaZe,Denmark,202,5252,3253,3773,508,43.4,0.62,0.72,0.1,75.9,0.73,18,13,5
shazex,G2,Ukraine,387,8514,6638,4232,1036,58.8,0.78,0.5,0.12,82.2,1.32,41,27,50
Shunoix,Astralis,Canada,232,6264,3595,4949,708,45.1,0.57,0.79,0.11,60.3,0.87,33,28,13
frlexer,MOUZ,Estonia,151,4077,2900,2935,404,46.2,0.71,0.72,0.1,82.8,1.22,15,15,21
stinkie,Heroic,Estonia,244,6344,4096,4114,640,37.4,0.65,0.65,0.1,62.5,0.9,34,29,0
Drrixoo,BIG,Czech Republic,220,5720,3929,4438,784,46.6,0.69,0.78,0.14,63.3,0.84,20,25,10
gllex5s,SAW,Estonia,79,2291,1213,1560,348,41.2,0.53,0.68,0.15,70.7,0.8,6,13,1
blulfix,G2,Mongolia,462,9702,7491,5438,942,64.9,0.77,0.56,0.1,91.4,1.27,59,22,44
